total,completed,unassigned,mean_duration,p95_duration,max_duration,kpi_violations,kpi_violation_rate,mean_wait,data_source,strategy,num_porters,num_tasks
100,100,0,293.48366666666675,570.0000000000007,588.8166666666673,99,99.0,271.9235,replay,greedy,3,100
100,96,4,286.6486111111112,577.7166666666667,622.0333333333333,95,98.95833333333334,265.31059027777786,replay,ortools,3,100
100,100,0,158.5878333333332,312.4166666666665,327.14999999999964,97,97.0,137.06883333333323,replay,greedy,5,100
100,94,6,155.10425531914888,310.5333333333331,352.3166666666666,91,96.80851063829788,133.55159574468087,replay,ortools,5,100
100,100,0,104.41699999999997,207.0499999999995,217.08333333333348,96,96.0,83.03833333333327,replay,greedy,7,100
100,95,5,103.40842105263151,200.23333333333312,236.1333333333332,91,95.78947368421052,82.1501754385964,replay,ortools,7,100
100,100,0,627.4345749566999,1184.342151781977,1251.8439742358457,100,100.0,569.3887416233664,synthetic,greedy,3,100
100,100,0,563.1537730712766,1116.0254851153095,1173.7174327701916,100,100.0,508.1347730712766,synthetic,ortools,3,100
100,100,0,240.0228265506288,436.32918897924446,458.1847153491648,100,100.0,183.03299321729534,synthetic,greedy,5,100
100,100,0,166.82386422632877,579.9824667358,661.6743413190613,100,100.0,114.52619755966214,synthetic,ortools,5,100
100,100,0,94.1290091620202,143.8101782447754,158.75785104908778,100,100.0,37.13884249535352,synthetic,greedy,7,100
100,100,0,78.22163600691786,160.72046680232324,264.4758654553002,100,100.0,23.41330267358452,synthetic,ortools,7,100
